Origin State,Count
New Jersey,21
Massachusetts,17
New York,16
Connecticut,16
Michigan,13
Pennsylvania,13
Rhode Island,9
Maine,6
Minnesota,5
New Hampshire,5
Wisconsin,4
Vermont,3
Kansas,1
Kentucky,1
Indiana,1
Louisiana,1
Maryland,1
Iowa,1
Wyoming,1
Illinois,1
Idaho,1
Georgia,1
Florida,1
District of Columbia,1
Delaware,1
Colorado,1
California,1
Arkansas,1
Arizona,1
Alaska,1
Hawaii,1
Montana,1
Mississippi,1
STATE2_NAME,1
West Virginia,1
Washington,1
Virginia,1
Utah,1
Texas,1
Tennessee,1
South Dakota,1
South Carolina,1
Puerto Rico,1
Missouri,1
Oregon,1
Oklahoma,1
Ohio,1
North Dakota,1
North Carolina,1
New Mexico,1
Nevada,1
Nebraska,1
Alabama,1
